Master_Joint_Numbers,Target_Joint_Numbers,Match_Type,Confidence,Master_Total_Length,Target_Total_Length,Length_Difference,Master_Start_Distance,Target_Start_Distance,Is_Split,Is_Merge
114,1160,1-to-1,0.91,5.078,5.01,0.068,1567.57,1552.36,False,False
115,1170,1-to-1,0.936,18.204,18.03,0.174,1572.648,1557.37,False,False
116,1180,1-to-1,0.943,17.992,17.84,0.152,1590.852,1575.4,False,False
117,1190,1-to-1,0.949,18.158,18.02,0.138,1608.844,1593.24,False,False
118,1200,1-to-1,0.939,18.166,18.0,0.166,1627.002,1611.26,False,False
119,1210,1-to-1,0.935,18.166,17.99,0.176,1645.168,1629.26,False,False
120,1220,1-to-1,0.924,18.136,17.93,0.206,1663.334,1647.25,False,False
121,1230,1-to-1,0.943,18.184,18.03,0.154,1681.47,1665.18,False,False
122,1240,1-to-1,0.947,18.184,18.04,0.144,1699.654,1683.21,False,False
123,1250,1-to-1,0.921,18.154,17.94,0.214,1717.838,1701.25,False,False
124,1260,1-to-1,0.951,18.152,18.02,0.132,1735.992,1719.19,False,False
125,1270,1-to-1,0.93,17.32,17.14,0.18,1754.144,1737.21,False,False
126,1280,1-to-1,0.928,18.186,17.99,0.196,1771.464,1754.35,False,False
127,1290,1-to-1,0.909,18.056,17.81,0.246,1789.65,1772.34,False,False
128,1300,1-to-1,0.933,18.162,17.98,0.182,1807.706,1790.15,False,False
129,1310,1-to-1,0.945,17.998,17.85,0.148,1825.868,1808.13,False,False
130,1320,1-to-1,0.929,18.194,18.0,0.194,1843.866,1825.98,False,False
131,1330,1-to-1,0.93,18.108,17.92,0.188,1862.06,1843.98,False,False
132,1340,1-to-1,0.939,18.176,18.01,0.166,1880.168,1861.9,False,False
133,1350,1-to-1,0.945,18.1,17.95,0.15,1898.344,1879.91,False,False
134,1360,1-to-1,0.921,18.022,17.81,0.212,1916.444,1897.86,False,False
135,1370,1-to-1,0.929,18.194,18.0,0.194,1934.466,1915.67,False,False
136,1380,1-to-1,0.929,18.182,17.99,0.192,1952.66,1933.67,False,False
137,1390,1-to-1,0.914,18.122,17.89,0.232,1970.842,1951.66,False,False
138,1400,1-to-1,0.932,18.206,18.02,0.186,1988.964,1969.55,False,False
139,1410,1-to-1,0.936,18.174,18.0,0.174,2007.17,1987.57,False,False
140,1420,1-to-1,0.937,18.17,18.0,0.17,2025.344,2005.57,False,False
141,1430,1-to-1,0.929,18.02,17.83,0.19,2043.514,2023.57,False,False
