insp_guid,ili_id,iliyr,joint_number,feature_number,cluster_number,feature_ type,distance ,joint_length,dist_to_us,dist_to_gs,length,wideth,depth,wall_surface,estimated_repair_factor,burst_pressure,wall_thickness,od_restriction,latitude,longitude,elevation
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,1,,,Joint,0,0.516,,,,,,,,,12.69999981,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,1,1,,Ball Valve,0,0.516,0,0.514,,,,,,,12.69999981,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,1,2,,Flange,0.352,0.516,0.352,0.162,,,,,,,12.69999981,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,2,,,Joint,0.516,0.358,,,,,,,,,12.69999981,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,2,3,,T-Piece,0.7,0.358,0.184,0.172,,,,,,,12.69999981,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,3,,,Joint,0.874,0.36,,,,,,,,,12.69999981,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,3,4,,T-Piece,1.076,0.36,0.202,0.156,,,,,,,12.69999981,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,4,,,Joint,1.234,0.696,,,,,,,,,12.69999981,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,5,,,Joint,1.93,0.954,,,,,,,,,8.180000305,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,5,5,,Wall Thickness Down,1.93,0.954,0,0.952,,,,,,,8.180000305,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,5,6,,Flange,2.082,0.954,0.152,0.8,,,,,,,8.180000305,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,5,7,,Ball Valve,2.404,0.954,0.474,0.478,,,,,,,8.180000305,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,5,8,,Flange,2.746,0.954,0.816,0.136,,,,,,,8.180000305,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,6,,,Joint,2.884,0.374,,,,,,,,,8.180000305,,,,
d3f9e5a1-7c2b-4f8d-9e3a-5b1c6a4d8f2e,ILI-17,2017,6,9,,T-Piece,3.09,0.374,0.206,0.166,,,,,,,8.180000305,,,,
