insp_guid,ili_id,iliyr,joint_number,feature_number,cluster_number,feature_type,distance,joint_length,dist_to_us,dist_to_gs,length,wideth,depth,wall_surface,estimated_repair_factor,burst_pressure,wall_thickness,od_restriction,latitude,longitude,elevation
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,10,,,,0,0.432,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,20,,,,0.432,0.284,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,30,,,,0.716,1.628,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,31,,,,2.344,0.81,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,40,,,,3.154,3.842,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,50,,,,6.996,2.09,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,60,,,,9.086,3.872,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,70,,,,12.958,0.574,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,80,,,,13.532,0.88,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,90,,,,14.412,18.652,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,100,,,,33.064,19.684,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,110,,,,52.748,6.366,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,120,,,,59.114,18.282,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,130,,,,77.396,18.276,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,140,,,,95.672,18.252,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,150,,,,113.924,13.864,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,160,,,,127.788,11.534,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,170,,,,139.322,11.03,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,180,,,,150.352,14.172,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,190,,,,164.524,18.158,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,200,,,,182.682,18.246,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,210,,,,200.928,18.256,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,220,,,,219.184,17.072,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,230,,,,236.256,18.23,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,240,,,,254.486,18.258,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,250,,,,272.744,18.222,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,260,,,,290.966,18.174,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,270,,,,309.14,18.218,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,280,,,,327.358,18.108,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,290,,,,345.466,18.3,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,300,,,,363.766,18.244,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,310,,,,382.01,18.23,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,320,,,,400.24,18.206,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,330,,,,418.446,18.242,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,340,,,,436.688,18.156,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,350,,,,454.844,18.216,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,360,,,,473.06,18.264,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,370,,,,491.324,18.26,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,380,,,,509.584,18.27,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,390,,,,527.854,18.222,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,400,,,,546.076,18.186,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,410,,,,564.262,18.156,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,420,,,,582.418,18.21,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,430,,,,600.628,18.248,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,440,,,,618.876,18.27,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,450,,,,637.146,18.12,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,460,,,,655.266,18.246,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,470,,,,673.512,18.242,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,480,,,,691.754,18.24,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,490,,,,709.994,18.216,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,500,,,,728.21,18.254,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,510,,,,746.464,18.26,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,520,,,,764.724,18.284,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,530,,,,783.008,18.27,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,540,,,,801.278,18.24,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,550,,,,819.518,18.262,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,560,,,,837.78,18.19,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,570,,,,855.97,18.256,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,580,,,,874.226,18.258,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,590,,,,892.484,18.218,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,600,,,,910.702,18.2,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,610,,,,928.902,18.238,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,620,,,,947.14,14.888,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,630,,,,962.028,18.202,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,640,,,,980.23,18.236,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,650,,,,998.466,18.278,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,660,,,,1016.744,18.268,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,670,,,,1035.012,18.228,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,680,,,,1053.24,18.268,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,690,,,,1071.508,18.252,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,700,,,,1089.76,18.218,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,710,,,,1107.978,18.208,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,720,,,,1126.186,18.26,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,730,,,,1144.446,18.228,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,740,,,,1162.674,18.238,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,750,,,,1180.912,18.25,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,760,,,,1199.162,18.228,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,770,,,,1217.39,18.226,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,780,,,,1235.616,18.248,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,790,,,,1253.864,18.266,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,800,,,,1272.13,18.234,,,,,,,,,,,,,
236d9489-1f89-49df-ad59-db96715ecd96,ILI-19,2019,810,,,,1290.364,18.24,,,,,,,,,,,,,
